run,generation,degenerate,holistic,other,compositional,popsize,turnover_rounds,group_rounds
18,0,0.9987713554999793,1.4267839920713722e-08,0.0012266915175253483,1.938714656782331e-06,25,20,20
18,1,0.7707721662442207,2.418428744118845e-05,0.2151059600359468,0.014097689432393801,25,20,20
18,2,0.5108142318724349,0.004498236952333666,0.44431435274307474,0.040373178432158686,25,20,20
18,3,0.33948397204516534,0.0013279329033136517,0.6198074843721201,0.0393806106793996,25,20,20
18,4,0.3403596672957477,0.0005991037668610442,0.6198590540401276,0.03918217489726505,25,20,20
18,5,0.11982794518297073,0.0003276504358763479,0.8729117678274116,0.006932636553736198,25,20,20
18,6,0.13834280759324252,2.604559126383184e-05,0.855001497060668,0.006629649754824854,25,20,20
18,7,0.09634646948921333,4.025295976944016e-05,0.8930110444017785,0.01060223314923676,25,20,20
18,8,0.16570513785523847,2.5817312545635376e-05,0.8260673108061589,0.008201734026055875,25,20,20
18,9,0.1315237121617975,2.5764721289734614e-05,0.8570829174673595,0.011367605649551854,25,20,20
18,10,0.13135990523767632,1.1339847364700906e-05,0.8285671896903759,0.04006156522458201,25,20,20
18,11,0.09160218130257095,1.133984903305643e-05,0.8570211186010122,0.05136536024738299,25,20,20
18,12,0.09186992546275878,0.0004185371823387048,0.8598827792523845,0.04782875810251747,25,20,20
18,13,0.12486565784645855,0.0004185327395571253,0.8268881582719056,0.04782765114207855,25,20,20
18,14,0.11444623851155684,0.00041853273954318266,0.8373075781936737,0.047827650555225934,25,20,20
18,15,0.11444623866738313,0.0005735612916904103,0.8371525491076394,0.04782765093328691,25,20,20
18,16,0.07458495800620786,0.0005735612948983742,0.8770138292880391,0.04782765141085477,25,20,20
18,17,0.10749204659447541,0.0005735613755034375,0.8441055787023859,0.04782881332763531,25,20,20
18,18,0.10749204659427442,0.0005735613741407146,0.8441099799440657,0.04782441208751921,25,20,20
18,19,0.1071656260624766,0.00016638797461193872,0.8448782311141438,0.04778975484876832,25,20,20
18,20,0.1071655697695126,0.00016638780286867445,0.8495157302126399,0.043152312214978894,25,20,20
18,21,0.10728418773958666,0.00016638780285390748,0.8493971121706264,0.04315231228693256,25,20,20
18,22,0.11036081320983801,0.00016638819441750028,0.8463204862754867,0.04315231232025865,25,20,20
18,23,0.11605906910478683,0.00016638819271078267,0.8407193588524425,0.043055183850059464,25,20,20
18,24,0.11613193865090504,0.00016662924090799693,0.8406462480781647,0.04305518403002167,25,20,20
18,25,0.11601217958497888,0.0004641118725476177,0.842056804923762,0.041466903618710395,25,20,20
18,26,0.11601230953534088,0.00047423754091556616,0.8420465347069096,0.04146691821683307,25,20,20
18,27,0.1465580141746468,0.00047423746560918046,0.8115010298501398,0.04146671850960329,25,20,20
18,28,0.14655801435473165,0.0004941445659132102,0.8114810933483928,0.04146674773096186,25,20,20
18,29,0.14655801518161046,0.0004941445672804385,0.8114810921485884,0.041466748102517874,25,20,20
18,30,0.14655801436897042,0.0004941445672324281,0.8114147197325674,0.04153312133122688,25,20,20
18,31,0.1465702161439198,0.0001865726743506961,0.8131820938224635,0.040061117359263584,25,20,20
18,32,0.14662945684232986,0.00018657267475670608,0.8131160814915287,0.04006788899138166,25,20,20
18,33,0.14655658730389562,0.00019347498626794422,0.8131820487145128,0.04006788899532042,25,20,20
