run,generation,degenerate,holistic,other,compositional,popsize,turnover_rounds,group_rounds
25,0,0.9987713554999793,1.4267839920713722e-08,0.0012266915175253483,1.938714656782331e-06,25,20,20
25,1,0.8044607220415712,1.4403545489700745e-06,0.1713019415892505,0.024235896014624846,25,20,20
25,2,0.3215812041437141,0.0037868656156864857,0.6216481411878287,0.052983789052769764,25,20,20
25,3,0.16408681923287247,0.003806519499845662,0.7556741897032075,0.07643247156407217,25,20,20
25,4,0.10625757025166652,0.0037611772909817136,0.7533423589681351,0.13663889348921499,25,20,20
25,5,0.10031698548183324,0.004527825650031596,0.6529088789209994,0.242246309947133,25,20,20
25,6,0.06800531013197623,0.018356457009201365,0.7576729242569126,0.15596530860190896,25,20,20
25,7,0.028994300071936995,0.005368702085063126,0.8065694814518335,0.1590675163911654,25,20,20
25,8,0.043221412478250364,0.12323846463774388,0.6768140068260258,0.15672611605798054,25,20,20
25,9,0.04316812780517658,0.16324912532383545,0.6303027822909227,0.16327996458006588,25,20,20
25,10,0.04316812780517715,0.12462066056282435,0.7085165375882521,0.12369467404374673,25,20,20
25,11,0.04328276915143201,0.08686517413180131,0.7461551354166661,0.12369692130009938,25,20,20
25,12,0.07128446190218037,0.06529984172651226,0.7397209673199705,0.1236947290513371,25,20,20
25,13,0.1074237468199356,0.06529916586613847,0.7436580197281818,0.08361906758574358,25,20,20
25,14,0.1131378670751856,0.12313630983040849,0.6447249377137793,0.11900088538062628,25,20,20
25,15,0.11619862592646772,0.10719961647269734,0.6930850948527637,0.08351666274807065,25,20,20
25,16,0.1161986259265117,0.10748472164411198,0.6574608565599543,0.11885579586942122,25,20,20
25,17,0.15422211306078387,0.1075347363920741,0.619387602594998,0.11885554795214348,25,20,20
25,18,0.15422949610704254,0.1256236688600742,0.6412912590027153,0.07885557603016599,25,20,20
25,19,0.15422949610787534,0.16316369172473627,0.6037512366590474,0.07885557550833963,25,20,20
25,20,0.15422949610704645,0.12392390152322472,0.6404428623181367,0.08140374005159023,25,20,20
25,21,0.1542307116253827,0.22297250510593486,0.5413930480937258,0.08140373517495533,25,20,20
25,22,0.15424022009305405,0.19772461503053013,0.5666313742683924,0.08140379060802275,25,20,20
25,23,0.15424043123771622,0.198299718430638,0.5660560597236209,0.08140379060802508,25,20,20
25,24,0.17992955777953953,0.19829991215491793,0.5429149039960443,0.07885562606949788,25,20,20
25,25,0.17992962115036615,0.23911836646715542,0.5020963858045674,0.07885562657791145,25,20,20
25,26,0.21758553300260783,0.27789712333659766,0.42566186711569687,0.07885547654509734,25,20,20
25,27,0.2180259087428778,0.2378971236190973,0.46514930784437863,0.07892765979364585,25,20,20
25,28,0.21802590875678773,0.20955836409955922,0.4934880672609465,0.07892765988270702,25,20,20
25,29,0.2180259087566268,0.2095583633973617,0.48889701053133017,0.08351871731468187,25,20,20
25,30,0.21664500811637802,0.20955901340679126,0.4900885500161052,0.0837074284607263,25,20,20
25,31,0.2166450081163783,0.20955803563617387,0.49008952778672055,0.08370742846072804,25,20,20
25,32,0.21666129589026092,0.20955056915117987,0.49008070424458816,0.08370743071397191,25,20,20
25,33,0.21666129589026098,0.2095402794939371,0.49009099390173505,0.08370743071406771,25,20,20
25,34,0.21666133668506252,0.19443572911436038,0.5087107406085891,0.08019219359198933,25,20,20
25,35,0.21666150645017304,0.19448862355877775,0.508657676906255,0.08019219308479573,25,20,20
25,36,0.2167827838729679,0.23448704844800627,0.4685379743182726,0.0801921933607546,25,20,20
25,37,0.18186921214007318,0.24959911738272492,0.488339369531054,0.08019230094614915,25,20,20
25,38,0.1818692121400972,0.21068551968584806,0.5272529672277536,0.08019230094630016,25,20,20
25,39,0.18186944199585584,0.20959961040037395,0.5283386212814272,0.08019232632234218,25,20,20
25,40,0.18187294247776137,0.2095993017137504,0.5283354548623325,0.08019230094615476,25,20,20
25,41,0.18187654530514802,0.2095993016997098,0.5283318478175549,0.08019230517758633,25,20,20
25,42,0.18187654530515224,0.1703786939623403,0.5675524555487441,0.08019230518376212,25,20,20
25,43,0.1823189926293696,0.17036250961124744,0.56712624008176,0.08019225767762092,25,20,20
25,44,0.18231899426178905,0.16959024044062113,0.56789791181755,0.08019285348003802,25,20,20
25,45,0.18231876113356787,0.1695176011730488,0.5679707841749583,0.08019285351842229,25,20,20
25,46,0.18231876115387055,0.16951760749888956,0.5679707778288122,0.0801928535184251,25,20,20
25,47,0.18231615210710309,0.1695176342802034,0.56797336005549,0.08019285355720093,25,20,20
25,48,0.18231615210710314,0.16951763428020347,0.5679799364116872,0.08018627720100355,25,20,20
25,49,0.1958184100688842,0.16951759002161698,0.554477830113917,0.08018616979557976,25,20,20
25,50,0.1958184100688842,0.16951793959881922,0.5544708757427865,0.08019277458950816,25,20,20
25,51,0.23561826622448123,0.16951756324120207,0.514671395968725,0.08019277456558851,25,20,20
25,52,0.2358071916005082,0.16951756333206458,0.5144824705015006,0.08019277456592339,25,20,20
25,53,0.2363121491230141,0.16951776578767938,0.5139772930653919,0.08019279202391148,25,20,20
25,54,0.2363121491264677,0.14240908601693106,0.5410859728326632,0.08019279202393596,25,20,20
25,55,0.23631214950106547,0.12365184978630146,0.5598432085203702,0.08019279219226055,25,20,20
25,56,0.22624005161785565,0.12477444190362467,0.5687926449996433,0.08019286147887629,25,20,20
25,57,0.22573509407780878,0.163671220089656,0.5304008418114945,0.08019284402104052,25,20,20
25,58,0.22573509407781198,0.16367122318261898,0.5305361185791516,0.0800575641604174,25,20,20
