run,generation,degenerate,holistic,other,compositional,popsize,turnover_rounds,group_rounds
38,0,0.9987713554999793,1.4267839920713722e-08,0.0012266915175253483,1.938714656782331e-06,25,20,20
38,1,0.7489848330913706,8.121296681773445e-05,0.24790938891654485,0.0030245650252593835,25,20,20
38,2,0.6927140327572218,0.00017091956604087038,0.30667242456855937,0.00044262310817510235,25,20,20
38,3,0.690180775859336,7.747340035376341e-05,0.30940220033571547,0.0003395504045950593,25,20,20
38,4,0.6042105483870117,0.0004067943153277858,0.3953735993663575,9.057931304982574e-06,25,20,20
38,5,0.6494664034831394,0.0004084347910972726,0.3501161994964722,8.96222929035759e-06,25,20,20
38,6,0.5594675631657487,0.0004096718763748032,0.4401084224956534,1.4342462223014181e-05,25,20,20
38,7,0.5803315263276935,0.0004112009766180138,0.41881952435862657,0.0004377483370616665,25,20,20
38,8,0.586177369225451,0.0004097201884375937,0.41297266129545696,0.0004402492906520247,25,20,20
38,9,0.5103288979363757,0.00041273374235864963,0.4888178670417951,0.00044050127946896543,25,20,20
38,10,0.4441167008105071,0.00041273374397784036,0.55503006416579,0.0004405012797237208,25,20,20
38,11,0.4060808986909891,0.0004127337598957123,0.5930589032296694,0.0004474643194445356,25,20,20
38,12,0.4061504756923498,3.956112192534483e-06,0.5933982319329694,0.0004473362624873989,25,20,20
38,13,0.40359913410401627,3.961397304217766e-06,0.5957352967396146,0.0006616077590637495,25,20,20
38,14,0.39980749663894194,2.3892561838630705e-05,0.5994119768236744,0.000756633975543448,25,20,20
38,15,0.3593304652799457,2.389256212245453e-05,0.6398890081434936,0.00075663401443891,25,20,20
38,16,0.32532733147627996,3.9615063233712345e-06,0.6739111210734382,0.0007575859439594914,25,20,20
38,17,0.35925686302543913,3.947637587306424e-06,0.6087576526824191,0.03198153665455522,25,20,20
38,18,0.27567658827194824,3.9470124839246315e-06,0.6837787686318163,0.04054069608375,25,20,20
38,19,0.2725118612014852,5.575193867842974e-06,0.6869380198934637,0.04054454371118407,25,20,20
38,20,0.2780600197700767,5.575285755239617e-06,0.6813898371222139,0.040544567821955105,25,20,20
38,21,0.29109646066867284,4.317155062922899e-06,0.6682614016443995,0.04063782053186524,25,20,20
38,22,0.3036338680707603,4.333734393752886e-06,0.6555944690282695,0.04076732916657796,25,20,20
38,23,0.263563170621691,4.333734393767549e-06,0.6956651664772252,0.040767329166691485,25,20,20
38,24,0.21113006081023422,3.96368386493621e-06,0.7481957465932217,0.040670228912680094,25,20,20
38,25,0.2110215658847559,1.8611210533831876e-05,0.7443090236022414,0.04465079930246943,25,20,20
38,26,0.21425467711342286,1.8634686229878438e-05,0.7410758849054752,0.04465080329487223,25,20,20
38,27,0.21007814758985208,1.861000664393329e-05,0.745259003360204,0.04464423904329922,25,20,20
38,28,0.2101831908407567,1.7078839020081416e-05,0.7455787610467062,0.0442209692735154,25,20,20
38,29,0.2101832845775234,1.721034922433799e-05,0.7456387453654889,0.04416075970776198,25,20,20
38,30,0.2162353425961433,1.7835027405863103e-05,0.7397155176882874,0.04403130468816234,25,20,20
38,31,0.22026058420316869,1.783494144602008e-05,0.7356902769398562,0.044031303915527446,25,20,20
38,32,0.2938738214394754,1.783920855110361e-05,0.6620760140522539,0.04403232529971863,25,20,20
38,33,0.2538784606905755,1.783920855119967e-05,0.7020713724048888,0.044032327695983024,25,20,20
38,34,0.25394625304056445,1.7839718058754207e-05,0.7019958255717921,0.04404008166958336,25,20,20
38,35,0.25394410459780903,1.783971805868026e-05,0.7019979726306981,0.044040083053432974,25,20,20
38,36,0.24814721240608825,1.783962617275125e-05,0.7077948890249395,0.04404005894279944,25,20,20
38,37,0.22015426656424164,1.7835447508704448e-05,0.7357889986661058,0.044038899322143346,25,20,20
38,38,0.22020781209335563,1.7835447590531334e-05,0.7357354531365199,0.04403889932253349,25,20,20
38,39,0.22023986813373464,1.6186513965043262e-05,0.7357049838009876,0.04403896155131408,25,20,20
38,40,0.254297764494549,3.070021433672627e-05,0.6976883719597526,0.047983163331363245,25,20,20
38,41,0.28866565416107476,3.1113020294818755e-05,0.6633278055661086,0.047975427252523115,25,20,20
38,42,0.28863357804208667,3.1141594835025175e-05,0.6633597792943385,0.04797550106874105,25,20,20
38,43,0.28861994222587856,3.6023022461006325e-05,0.6672559954818137,0.044088039269848035,25,20,20
38,44,0.2500280448842084,3.714876349461372e-05,0.6887197324495921,0.06121507390270608,25,20,20
38,45,0.2500251535999192,2.2635159298883826e-05,0.6878409900189092,0.0621112212218739,25,20,20
38,46,0.2500250557432679,3.253372207516726e-05,0.6878669576348858,0.062075452899772045,25,20,20
38,47,0.24995491902789518,3.520396519492183e-05,0.6879344221311782,0.062075454875732045,25,20,20
38,48,0.24905330553673274,3.5204471288717115e-05,0.6888283329888506,0.062083157003128,25,20,20
38,49,0.2527002449911371,3.520447143161895e-05,0.6851813935329416,0.06208315700448977,25,20,20
38,50,0.25270024499112637,0.024597557773776625,0.6654593893264097,0.057242807908687326,25,20,20
38,51,0.25274289653332305,0.027942110586787985,0.6620672809116734,0.057247711968217437,25,20,20
38,52,0.2527428965333113,0.043347886051103984,0.6466615054507818,0.05724771196480294,25,20,20
