,average_degree,clustering_coef,average_shortest_path,n_edges,n_nodes
0,4.0,0.272,2.4566666666666666,50,25
1,4.0,0.272,2.4566666666666666,50,25
2,3.3333333333333335,0.2263888888888889,2.699275362318841,40,24
3,3.0,0.03472222222222222,2.710144927536232,36,24
4,2.75,0.06944444444444445,2.960144927536232,33,24
5,2.9166666666666665,0.11967592592592592,2.746376811594203,35,24
6,3.0434782608695654,0.13919944789510005,2.6126482213438735,35,23
7,3.217391304347826,0.1756728778467909,2.616600790513834,37,23
8,3.0,0.1630952380952381,2.9057971014492754,36,24
9,3.2,0.16780952380952383,2.6133333333333333,40,25
10,2.75,0.11507936507936507,2.9094202898550723,33,24
11,3.1818181818181817,0.07943722943722943,2.393939393939394,35,22
12,3.76,0.092,2.41,47,25
13,3.76,0.16787878787878788,2.45,47,25
14,4.0,0.24047619047619048,2.241106719367589,46,23
15,3.6666666666666665,0.15912698412698412,2.38768115942029,44,24
16,3.9166666666666665,0.26607142857142857,2.2427536231884058,47,24
17,3.9166666666666665,0.28379629629629627,2.351449275362319,47,24
18,3.8260869565217392,0.26739130434782604,2.561264822134387,44,23
19,3.92,0.40273881673881673,2.4233333333333333,49,25
20,4.0,0.35654761904761906,2.2282608695652173,48,24
21,3.5833333333333335,0.24176587301587302,2.532608695652174,43,24
22,3.238095238095238,0.11428571428571428,2.6476190476190475,34,21
23,3.6363636363636362,0.06569264069264069,2.25974025974026,40,22
24,2.88,0.07361904761904761,3.03,36,25
25,3.090909090909091,0.18333333333333332,NaN,34,22
26,2.96,0.04647619047619047,2.7,37,25
27,2.782608695652174,0.03913043478260869,2.774703557312253,32,23
28,2.9166666666666665,0.10059523809523808,NaN,35,24
29,2.72,0.11352380952380953,3.02,34,25
30,2.75,0.05952380952380953,NaN,33,24
31,2.8333333333333335,0.12093253968253968,2.8079710144927534,34,24
32,2.8333333333333335,0.12341269841269842,NaN,34,24
33,2.727272727272727,0.18354978354978355,2.865800865800866,30,22
34,2.5714285714285716,0.1873015873015873,2.8523809523809525,27,21
35,3.1666666666666665,0.1909722222222222,2.6594202898550723,38,24
36,3.52,0.1763809523809524,2.4166666666666665,44,25
37,3.28,0.0911111111111111,2.71,41,25
38,3.0,0.23750000000000002,2.960144927536232,36,24
39,3.090909090909091,0.16017316017316016,2.5757575757575757,34,22
40,3.217391304347826,0.2142857142857143,2.6600790513833994,37,23
41,3.3333333333333335,0.11709656084656084,2.5,40,24
42,3.652173913043478,0.12701863354037266,2.466403162055336,42,23
43,3.5833333333333335,0.21984126984126984,2.6594202898550723,43,24
44,3.0,0.14305555555555555,NaN,36,24
45,3.238095238095238,0.1290249433106576,2.6142857142857143,34,21
46,3.3043478260869565,0.1785024154589372,2.4624505928853755,38,23
47,3.0833333333333335,0.2610449735449735,2.597826086956522,37,24
48,2.9565217391304346,0.07681159420289854,2.774703557312253,34,23
49,3.0833333333333335,0.12916666666666668,2.8405797101449277,37,24
50,2.869565217391304,0.1960662525879917,2.9446640316205532,33,23
51,3.0434782608695654,0.1898550724637681,2.857707509881423,35,23
52,3.3043478260869565,0.2300207039337474,2.83399209486166,38,23
53,3.3333333333333335,0.08492063492063491,2.5615942028985508,40,24
54,3.391304347826087,0.08902691511387163,2.4703557312252964,39,23
55,2.8,0.06,3.0033333333333334,35,25
56,3.0833333333333335,0.11984126984126985,2.7971014492753623,37,24
57,3.0833333333333335,0.17926587301587302,2.5615942028985508,37,24
58,2.5833333333333335,0.08234126984126984,2.9528985507246377,31,24
59,2.6,0.22333333333333333,2.763157894736842,26,20
60,2.909090909090909,0.23084415584415582,2.619047619047619,32,22
61,2.9166666666666665,0.13789682539682538,NaN,35,24
62,3.1818181818181817,0.30458152958152956,2.5238095238095237,35,22
63,3.0833333333333335,0.327744708994709,2.6630434782608696,37,24
64,3.090909090909091,0.19606782106782106,2.632034632034632,34,22
