,average_degree,clustering_coef,average_shortest_path,n_edges,n_nodes
0,4.0,0.39199999999999996,2.76,50,25
1,4.0,0.39199999999999996,2.76,50,25
2,3.84,0.15333333333333332,2.513333333333333,48,25
3,4.0,0.196,2.3966666666666665,50,25
4,3.4166666666666665,0.1486111111111111,2.7717391304347827,41,24
5,2.88,0.19095238095238096,NaN,36,25
6,3.6363636363636362,0.2133116883116883,2.3073593073593073,40,22
7,3.12,0.11885714285714286,2.6766666666666667,39,25
8,3.25,0.08492063492063491,2.6847826086956523,39,24
9,3.3043478260869565,0.18288474810213942,2.5573122529644268,38,23
10,3.28,0.16419047619047616,2.67,41,25
11,3.2,0.15904761904761905,2.76,40,25
12,3.217391304347826,0.04089026915113871,2.569169960474308,37,23
13,2.75,0.06845238095238095,NaN,33,24
14,2.727272727272727,0.05064935064935065,2.7532467532467533,30,22
15,3.3333333333333335,0.1371031746031746,2.489130434782609,40,24
16,2.88,0.024,2.756666666666667,36,25
17,2.782608695652174,0.13333333333333333,2.9051383399209487,32,23
18,3.0,0.045454545454545456,2.7142857142857144,33,22
19,3.0833333333333335,0.07142857142857142,2.699275362318841,37,24
20,2.96,0.042666666666666665,2.84,37,25
21,2.9565217391304346,0.07349896480331262,3.0513833992094863,34,23
22,2.9565217391304346,0.21904761904761905,NaN,34,23
23,3.2,0.13104761904761905,2.6433333333333335,40,25
24,3.3333333333333335,0.1556547619047619,2.5217391304347827,40,24
25,2.9166666666666665,0.028968253968253966,2.9927536231884058,35,24
26,2.75,0.08888888888888889,3.3405797101449277,33,24
27,2.5454545454545454,0.1212121212121212,3.865800865800866,28,22
28,2.5217391304347827,0.11884057971014493,3.2648221343873516,29,23
29,3.0434782608695654,0.12960662525879918,2.608695652173913,35,23
30,3.0833333333333335,0.11547619047619047,2.5217391304347827,37,24
31,3.8260869565217392,0.22104272539055145,2.205533596837945,44,23
32,3.76,0.1867012987012987,2.39,47,25
33,3.68,0.13787301587301587,2.493333333333333,46,25
34,3.5652173913043477,0.2343685300207039,2.399209486166008,41,23
35,3.727272727272727,0.18333333333333332,2.324675324675325,41,22
36,3.2,0.1697142857142857,2.83,40,25
37,3.5,0.125,2.5833333333333335,42,24
38,3.2,0.09923809523809524,2.71,40,25
39,3.6363636363636362,0.20043290043290043,2.341991341991342,40,22
40,3.0833333333333335,0.18888888888888888,2.9130434782608696,37,24
41,3.04,0.12133333333333333,2.8966666666666665,38,25
42,3.0,0.10376984126984128,2.86231884057971,36,24
43,2.782608695652174,0.08178053830227743,2.8181818181818183,32,23
44,3.217391304347826,0.2284679089026915,NaN,37,23
45,2.88,0.04933333333333333,NaN,36,25
46,2.8333333333333335,0.015873015873015872,2.721014492753623,34,24
47,2.9166666666666665,0.06408730158730158,2.782608695652174,35,24
48,3.130434782608696,0.10993788819875776,2.6798418972332017,36,23
49,3.52,0.23047619047619047,NaN,44,25
50,3.68,0.19314285714285714,2.6133333333333333,46,25
51,4.0,0.32287784679089027,2.4150197628458496,46,23
52,3.75,0.23961640211640212,2.5,45,24
53,3.6,0.07761904761904762,2.466666666666667,45,25
54,3.4782608695652173,0.042028985507246375,2.6877470355731226,40,23
55,3.4166666666666665,0.11339285714285714,2.496376811594203,41,24
56,3.68,0.1458095238095238,2.533333333333333,46,25
57,3.04,0.11066666666666666,2.8566666666666665,38,25
58,2.869565217391304,0.2753623188405797,3.5573122529644268,33,23
59,2.9166666666666665,0.14027777777777778,2.949275362318841,35,24
60,3.28,0.08666666666666666,2.7333333333333334,41,25
61,3.0833333333333335,0.12420634920634921,NaN,37,24
62,3.090909090909091,0.22564935064935066,2.787878787878788,34,22
63,3.5833333333333335,0.2536375661375661,2.431159420289855,43,24
64,3.36,0.08168253968253968,2.5533333333333332,42,25
65,3.25,0.06944444444444445,2.818840579710145,39,24
66,3.25,0.11011904761904762,2.63768115942029,39,24
67,3.8260869565217392,0.1287784679089027,2.411067193675889,44,23
68,3.6,0.12942857142857142,2.55,45,25
69,3.3636363636363638,0.2220779220779221,2.445887445887446,37,22
70,3.4285714285714284,0.1564625850340136,2.361904761904762,36,21
71,3.739130434782609,0.1865079365079365,2.375494071146245,43,23
72,3.36,0.20104761904761903,2.7133333333333334,42,25
73,3.5833333333333335,0.24732142857142858,NaN,43,24
74,3.6,0.14228571428571427,2.5766666666666667,45,25
75,3.391304347826087,0.14347826086956522,2.739130434782609,39,23
76,3.6666666666666665,0.1232142857142857,2.4818840579710146,44,24
77,3.5454545454545454,0.15454545454545454,2.4545454545454546,39,22
78,3.0,0.059722222222222225,2.746376811594203,36,24
79,3.130434782608696,0.08944099378881987,2.7351778656126484,36,23
80,3.652173913043478,0.3231193926846101,2.343873517786561,42,23
81,3.28,0.17746031746031746,2.3966666666666665,41,25
82,3.3043478260869565,0.1538302277432712,2.549407114624506,38,23
83,2.909090909090909,0.23744588744588746,2.5844155844155843,32,22
84,2.782608695652174,0.19192546583850933,2.7628458498023716,32,23
85,3.3043478260869565,0.32657004830917874,2.58102766798419,38,23
86,3.1818181818181817,0.21645021645021645,2.5974025974025974,35,22
87,3.5833333333333335,0.2955357142857143,2.4528985507246377,43,24
88,3.36,0.20215873015873015,2.58,42,25
89,3.4782608695652173,0.05879917184265011,2.494071146245059,40,23
90,3.12,0.1457142857142857,2.8,39,25
91,3.3333333333333335,0.05357142857142857,2.572463768115942,40,24
92,3.739130434782609,0.08364389233954451,2.3201581027667983,43,23
93,3.76,0.15555555555555556,2.3733333333333335,47,25
94,4.08,0.2412063492063492,2.3,51,25
95,3.6666666666666665,0.16752645502645502,2.460144927536232,44,24
96,3.6,0.12034920634920634,2.57,45,25
97,3.8333333333333335,0.34937469937469934,2.4130434782608696,46,24
98,3.84,0.13704761904761903,2.453333333333333,48,25
99,3.52,0.22107936507936507,2.6766666666666667,44,25
100,3.0,0.10128968253968253,2.550724637681159,36,24
101,3.3043478260869565,0.04906832298136646,2.4545454545454546,38,23
102,3.9166666666666665,0.13667582417582416,2.177536231884058,47,24
103,3.5833333333333335,0.19576719576719578,2.713768115942029,43,24
104,3.739130434782609,0.3829286655373612,2.4229249011857705,43,23
105,3.6363636363636362,0.18982683982683984,NaN,40,22
106,4.173913043478261,0.20220841959972397,2.2648221343873516,48,23
107,3.28,0.1651111111111111,2.55,41,25
108,3.25,0.10343915343915344,2.5615942028985508,39,24
109,3.04,0.11890909090909091,2.6466666666666665,38,25
110,2.88,0.1543030303030303,2.966666666666667,36,25
111,2.8181818181818183,0.18084415584415584,NaN,31,22
112,3.1666666666666665,0.07549603174603174,2.63768115942029,38,24
113,2.88,0.05447619047619048,2.9066666666666667,36,25
114,2.75,0.056150793650793646,2.800724637681159,33,24
115,3.0434782608695654,0.19068322981366456,2.569169960474308,35,23
116,2.48,0.10685714285714284,NaN,31,25
117,2.75,0.028968253968253966,NaN,33,24
118,3.4545454545454546,0.20032467532467535,2.406926406926407,38,22
119,4.25,0.315758547008547,2.119565217391304,51,24
120,4.083333333333333,0.23552489177489178,2.170289855072464,49,24
121,3.92,0.23292063492063492,2.2866666666666666,49,25
122,3.76,0.2380952380952381,2.3966666666666665,47,25
123,3.2,0.20323809523809522,2.8766666666666665,40,25
124,3.3636363636363638,0.1461038961038961,NaN,37,22
125,3.3333333333333335,0.17996031746031746,NaN,40,24
126,3.4545454545454546,0.3952380952380952,2.497835497835498,38,22
127,3.68,0.3506666666666666,2.58,46,25
128,3.5,0.16011904761904763,2.550724637681159,42,24
129,3.5652173913043477,0.26811594202898553,2.632411067193676,41,23
130,3.130434782608696,0.19834368530020702,2.7233201581027666,36,23
131,3.9130434782608696,0.16853002070393375,2.308300395256917,45,23
132,3.5833333333333335,0.3822420634920635,2.460144927536232,43,24
133,3.6666666666666665,0.3261574074074074,2.3731884057971016,44,24
134,3.6666666666666665,0.2115079365079365,2.4130434782608696,44,24
135,3.76,0.12371428571428571,2.433333333333333,47,25
136,4.083333333333333,0.13154761904761905,2.402173913043478,49,24
137,4.181818181818182,0.17521645021645021,2.142857142857143,46,22
138,4.0,0.15238095238095237,2.3152173913043477,48,24
139,3.9166666666666665,0.3091269841269841,2.460144927536232,47,24
140,3.8333333333333335,0.2505952380952381,2.402173913043478,46,24
141,4.24,0.22942857142857143,2.37,53,25
142,4.16,0.18590476190476188,2.3233333333333333,52,25
143,3.92,0.13858008658008658,2.41,49,25
144,3.44,0.1261991341991342,2.5833333333333335,43,25
145,3.391304347826087,0.2676328502415459,2.458498023715415,39,23
146,3.727272727272727,0.17027417027417027,2.277056277056277,41,22
147,3.68,0.25212698412698414,2.466666666666667,46,25
148,3.5833333333333335,0.14801587301587302,2.3949275362318843,43,24
149,2.9166666666666665,0.050198412698412694,2.7318840579710146,35,24
150,2.88,0.17904761904761904,2.8133333333333335,36,25
151,3.1818181818181817,0.16944444444444443,2.536796536796537,35,22
152,3.4166666666666665,0.26438492063492064,2.4384057971014492,41,24
153,3.6363636363636362,0.22979797979797978,2.367965367965368,40,22
