run,generation,degenerate,holistic,other,compositional,popsize,turnover_rounds,group_rounds
7,0,0.9987713554999793,1.4267839920713722e-08,0.0012266915175253483,1.938714656782331e-06,25,20,20
7,1,0.9779902238881258,7.6880519405065e-09,0.022008738618314164,1.0298055096896771e-06,25,20,20
7,2,0.8832949550133694,5.169404112354159e-06,0.11669900527049293,8.703120237697979e-07,25,20,20
7,3,0.8965247404096445,4.976139737910172e-06,0.10341307578514153,5.720766547526914e-05,25,20,20
7,4,0.8472951209398301,5.1595252141788075e-06,0.15264061181378755,5.910772116791617e-05,25,20,20
7,5,0.8037650100185957,6.973734829256902e-05,0.19610662624222935,5.862639088240272e-05,25,20,20
7,6,0.6193617595713916,8.816245359541915e-07,0.3761832440309121,0.004454114773161348,25,20,20
7,7,0.6290211915913102,1.3685377048151981e-06,0.37091828646609887,5.915340488771243e-05,25,20,20
7,8,0.561627464347882,1.3533511645882454e-06,0.4383710671601528,1.151408019807866e-07,25,20,20
7,9,0.5657789768567109,1.4010676849384798e-09,0.4341952686823108,2.575305991106986e-05,25,20,20
7,10,0.5572867499646142,1.0729456055728618e-08,0.4427107890248219,2.45028110650708e-06,25,20,20
7,11,0.4672919990759656,7.2910727339524395e-09,0.5327079606559751,3.29769861705955e-08,25,20,20
7,12,0.41093438202948046,2.3636880992262576e-05,0.5775877397332464,0.011454241356278075,25,20,20
7,13,0.3690321061619079,2.4068963591561042e-05,0.6309424426726656,1.382201833128085e-06,25,20,20
7,14,0.3303113354642749,0.04344082498833793,0.626129715273907,0.00011812427348238256,25,20,20
7,15,0.24554198598771293,0.0011707789860561498,0.7532871895038066,4.552242520798714e-08,25,20,20
7,16,0.21882797883277155,0.028065972129400627,0.7531060265866035,2.2451224038972766e-08,25,20,20
7,17,0.2005642499297554,0.024521342202563457,0.7749143724761702,3.5391511887350594e-08,25,20,20
7,18,0.12493451393230087,0.08405694477767794,0.791007657507401,8.837826182787444e-07,25,20,20
7,19,0.11993713273420939,0.07960139026844142,0.8004606283079231,8.486894243682072e-07,25,20,20
7,20,0.12500220512558136,0.08292596068557138,0.7920718296444457,4.544400167257901e-09,25,20,20
7,21,0.1228675371155169,0.043053466088797364,0.8340777500927044,1.2467029804440118e-06,25,20,20
7,22,0.09220014530681012,0.04547748226648596,0.8622378495806363,8.452284607013942e-05,25,20,20
7,23,0.08516305424564502,3.046960105728471e-05,0.9147936494003703,1.2826752928847698e-05,25,20,20
7,24,0.0915883984296426,0.027046314771154104,0.8813525428226187,1.2743976581446749e-05,25,20,20
